date,AQI
2017/1/3,323
2017/1/4,345
2017/1/5,321
2017/1/6,220
2017/1/7,170
2017/1/8,271
2017/1/9,332
2017/1/10,330
2017/1/11,337
2017/1/12,247
2017/1/13,318
2017/1/14,344
2017/1/15,193
2017/1/16,125
2017/1/17,162
2017/1/18,305
2017/1/19,287
2017/1/20,337
2017/1/21,314
2017/1/22,283
2017/1/23,308
2017/1/24,193
2017/1/25,223
2017/1/26,325
2017/1/27,321
2017/1/28,290
2017/1/29,223
2017/1/30,310
2017/1/31,207
2017/2/1,150
2017/2/2,220
2017/2/3,170
2017/2/4,200
2017/2/5,311
2017/2/6,351
2017/2/7,309
2017/2/8,125
2017/2/9,175
2017/2/10,331
2017/2/11,304
2017/2/12,305
2017/2/13,328
2017/2/14,325
2017/2/15,328
2017/2/16,328
2017/2/17,302
2017/2/18,304
2017/2/19,138
2017/2/20,280
2017/2/21,290
2017/2/22,180
2017/2/23,311
2017/2/24,329
2017/2/25,309
2017/2/26,334
2017/2/27,351
2017/2/28,305
2017/3/1,302
2017/3/2,313
2017/3/3,309
2017/3/4,317
2017/3/5,324
2017/3/6,330
2017/3/7,217
2017/3/8,267
2017/3/9,306
2017/3/10,334
2017/3/11,326
2017/3/12,323
2017/3/13,237
2017/3/14,250
2017/3/15,223
2017/3/16,243
2017/3/17,187
2017/3/18,273
2017/3/19,243
2017/3/20,297
2017/3/21,306
2017/3/22,322
2017/3/23,150
2017/3/24,180
2017/3/25,306
2017/3/26,329
2017/3/27,322
2017/3/28,297
2017/3/29,326
2017/3/30,312
2017/3/31,260
2017/4/1,328
2017/4/2,335
2017/4/3,321
2017/4/4,313
2017/4/5,283
2017/4/6,331
2017/4/7,307
2017/4/8,328
2017/4/9,267
2017/4/10,213
2017/4/11,315
2017/4/12,280
2017/4/13,140
2017/4/14,203
2017/4/15,300
2017/4/16,309
2017/4/17,319
2017/4/18,308
2017/4/19,253
2017/4/20,305
2017/4/21,319
2017/4/22,263
2017/4/23,273
2017/4/24,297
2017/4/25,304
2017/4/26,183
2017/4/27,200
2017/4/28,304
2017/4/29,315
2017/4/30,301
2017/5/1,220
2017/5/2,133
2017/5/3,138
2017/5/4,162
2017/5/5,303
2017/5/6,318
2017/5/7,321
2017/5/8,207
2017/5/9,300
2017/5/10,315
2017/5/11,308
2017/5/12,210
2017/5/13,302
2017/5/14,315
2017/5/15,167
2017/5/16,125
2017/5/17,137
2017/5/18,153
2017/5/19,183
2017/5/20,140
2017/5/21,138
2017/5/22,138
2017/5/23,138
2017/5/24,150
2017/5/25,220
2017/5/26,267
2017/5/27,167
2017/5/28,190
2017/5/29,125
2017/5/30,138
2017/5/31,293
2017/6/1,328
2017/6/2,250
2017/6/3,112
2017/6/4,112
2017/6/5,125
2017/6/6,175
2017/6/7,306
2017/6/8,327
2017/6/9,317
2017/6/10,160
2017/6/11,112
2017/6/12,138
2017/6/13,125
2017/6/14,112
2017/6/15,217
2017/6/16,210
2017/6/17,203
2017/6/18,157
2017/6/19,138
2017/6/20,138
2017/6/21,157
2017/6/22,150
2017/6/23,243
2017/6/24,175
2017/6/25,223
2017/6/26,312
2017/6/27,323
2017/6/28,250
2017/6/29,150
2017/6/30,138
2017/7/1,200
2017/7/2,138
2017/7/3,138
2017/7/4,150
2017/7/5,140
2017/7/6,138
2017/7/7,160
2017/7/8,197
2017/7/9,127
2017/7/10,125
2017/7/11,153
2017/7/12,237
2017/7/13,257
2017/7/14,277
2017/7/15,210
2017/7/16,130
2017/7/17,150
2017/7/18,260
2017/7/19,220
2017/7/20,200
2017/7/21,250
2017/7/22,302
2017/7/23,243
2017/7/24,273
2017/7/25,302
2017/7/26,300
2017/7/27,277
2017/7/28,138
2017/7/29,125
2017/7/30,138
2017/7/31,125
2017/8/1,113
2017/8/2,125
2017/8/3,157
2017/8/4,233
2017/8/5,304
2017/8/6,323
2017/8/7,323
2017/8/8,190
2017/8/9,175
2017/8/10,220
2017/8/11,315
2017/8/12,260
2017/8/13,200
2017/8/14,175
2017/8/15,305
2017/8/16,163
2017/8/17,150
2017/8/18,150
2017/8/19,220
2017/8/20,150
2017/8/21,180
2017/8/22,125
2017/8/23,138
2017/8/24,150
2017/8/25,163
2017/8/26,138
2017/8/27,125
2017/8/28,125
2017/8/29,125
2017/8/30,138
2017/8/31,138
2017/9/1,150
2017/9/2,150
2017/9/3,138
2017/9/4,138
2017/9/5,162
2017/9/6,297
2017/9/10,188
2017/9/11,167
2017/9/12,180
2017/9/13,187
2017/9/14,138
2017/9/15,138
2017/9/16,138
2017/9/17,175
2017/9/18,306
2017/9/19,324
2017/9/20,157
2017/9/21,150
2017/9/22,157
2017/9/23,183
2017/9/24,162
2017/9/25,188
2017/9/26,240
2017/9/27,217
2017/9/28,138
2017/9/29,125
2017/9/30,150
2017/10/1,162
2017/10/2,133
2017/10/3,125
2017/10/4,138
2017/10/5,200
2017/10/6,312
2017/10/7,301
2017/10/8,138
2017/10/9,138
2017/10/10,150
2017/10/11,125
2017/10/12,112
2017/10/13,125
2017/10/14,125
2017/10/15,138
2017/10/16,138
2017/10/17,150
2017/10/18,183
2017/10/19,193
2017/10/20,175
2017/10/21,220
2017/10/22,327
2017/10/23,257
2017/10/24,183
2017/10/25,177
2017/10/26,197
2017/10/27,233
2017/10/28,247
2017/10/30,300
2017/10/31,138
2017/11/1,147
2017/11/2,203
2017/11/3,309
2017/11/4,327
2017/11/5,138
2017/11/6,150
2017/11/7,214
2017/11/8,328
2017/11/9,325
2017/11/10,162
2017/11/11,250
2017/11/12,125
2017/11/13,125
2017/11/14,177
2017/11/15,287
2017/11/16,210
2017/11/17,173
2017/11/18,125
2017/11/19,138
2017/11/20,200
2017/11/21,162
2017/11/22,310
2017/11/23,315
2017/11/24,270
2017/11/25,327
2017/11/26,311
2017/11/27,322
2017/11/28,240
2017/11/29,312
2017/11/30,325
2017/12/1,147
2017/12/2,283
2017/12/3,217
2017/12/4,290
2017/12/5,332
2017/12/6,270
2017/12/7,316
2017/12/8,338
2017/12/9,227
2017/12/10,379
2017/12/11,522
2017/12/12,522
2017/12/13,433
2017/12/14,150
2017/12/15,180
2017/12/16,175
2017/12/17,323
2017/12/18,314
2017/12/19,314
2017/12/20,273
2017/12/21,293
2017/12/22,332
2017/12/23,327
2017/12/24,306
2017/12/25,355
2017/12/26,312
2017/12/27,273
2017/12/28,267
2017/12/29,150
2017/12/30,227
2017/12/31,316
2018/1/1,402
2018/1/2,309
2018/1/3,200
2018/1/4,157
2018/1/5,150
2018/1/6,188
2018/1/7,325
2018/1/8,229
2018/1/9,336
2018/1/10,220
2018/1/11,263
2018/1/12,308
2018/1/13,352
2018/1/14,405
2018/1/15,210
2018/1/16,330
2018/1/17,309
2018/1/18,343
2018/1/19,334
2018/1/20,353
2018/1/21,340
2018/1/22,290
2018/1/23,300
2018/1/24,351
2018/1/25,167
2018/1/26,125
2018/1/27,125
2018/1/28,138
2018/1/29,200
2018/1/30,342
2018/1/31,399
2018/2/1,391
2018/2/2,357
2018/2/3,344
2018/2/4,350
2018/2/5,237
2018/2/6,313
2018/2/7,213
2018/2/8,188
2018/2/9,334
2018/2/10,324
2018/2/11,315
2018/2/12,267
2018/2/13,237
2018/2/14,230
2018/2/15,273
2018/2/16,247
2018/2/17,138
2018/2/18,270
2018/2/19,112
2018/2/20,138
2018/2/21,301
2018/2/22,240
2018/2/23,302
2018/2/24,310
2018/2/25,270
2018/2/26,240
2018/2/27,280
2018/2/28,267
2018/3/1,223
2018/3/2,341
2018/3/3,153
2018/3/4,230
2018/3/5,207
2018/3/6,133
2018/3/7,113
2018/3/8,147
2018/3/9,270
2018/3/10,293
2018/3/11,304
2018/3/12,318
2018/3/13,335
2018/3/14,163
2018/3/15,310
2018/3/16,253
2018/3/17,173
2018/3/18,143
2018/3/19,193
2018/3/20,220
2018/3/21,308
2018/3/22,233
2018/3/23,332
2018/3/24,335
2018/3/25,325
2018/3/26,314
2018/3/27,312
2018/3/28,302
2018/3/29,280
2018/3/30,200
2018/3/31,230
2018/4/1,301
2018/4/2,307
2018/4/3,311
2018/4/4,247
2018/4/5,227
2018/4/6,304
2018/4/7,183
2018/4/8,494
2018/4/9,431
2018/4/10,349
2018/4/11,402
2018/4/12,203
2018/4/13,153
2018/4/14,223
2018/4/15,312
2018/4/16,203
2018/4/17,270
2018/4/18,304
2018/4/19,267
2018/4/20,220
2018/4/21,217
2018/4/22,217
2018/4/23,257
2018/4/24,167
2018/4/25,305
2018/4/26,203
2018/4/27,324
2018/4/28,342
2018/4/29,335
2018/4/30,328
2018/5/1,301
2018/5/2,332
2018/5/3,233
2018/5/4,287
2018/5/5,200
2018/5/6,301
2018/5/7,227
2018/5/8,250
2018/5/9,237
2018/5/10,153
2018/5/11,163
2018/5/12,313
2018/5/13,333
2018/5/14,323
2018/5/15,315
2018/5/16,297
2018/5/17,270
2018/5/18,305
2018/5/19,203
2018/5/20,125
2018/5/21,170
2018/5/22,283
2018/5/23,270
2018/5/24,280
2018/5/25,193
2018/5/26,220
2018/5/27,260
2018/5/28,327
2018/5/29,337
2018/5/30,328
2018/5/31,297
2018/6/1,263
2018/6/2,233
2018/6/3,257
2018/6/4,280
2018/6/5,332
2018/6/6,312
2018/6/7,290
2018/6/8,177
2018/6/9,183
2018/6/10,290
2018/6/11,319
2018/6/12,318
2018/6/13,330
2018/6/14,304
2018/6/15,127
2018/6/16,187
2018/6/17,177
2018/6/18,153
2018/6/19,170
2018/6/20,112
2018/6/21,133
